iter	Logloss
0	0.6508516768
1	0.6218956607
2	0.5899147679
3	0.5612249448
4	0.5357825869
5	0.5131323544
6	0.4956552922
7	0.476875483
8	0.4605919624
9	0.4477724663
10	0.4367726445
11	0.4251539387
12	0.4153409422
13	0.4059646176
14	0.3977344544
15	0.3911935292
16	0.3854810647
17	0.3800026618
18	0.3752115389
19	0.3708579114
20	0.3671425841
21	0.3637731506
22	0.3607263794
23	0.3583600096
24	0.3555270116
25	0.3532210774
26	0.3511092603
27	0.3490497929
28	0.3476009189
29	0.3458507337
30	0.3441995544
31	0.3426671393
32	0.3416506168
33	0.3403649564
34	0.3393373815
35	0.3385909671
36	0.3374047924
37	0.3363939624
38	0.3354208933
39	0.3343292169
40	0.3336253309
41	0.3327266649
42	0.3319565522
43	0.3312267636
44	0.3308508726
45	0.3302679669
46	0.3297563284
47	0.3292248705
48	0.3287871495
49	0.3282915789
50	0.3280242354
51	0.3274686226
52	0.3270145345
53	0.3266538063
54	0.3261678464
55	0.3258070394
56	0.3254345004
57	0.3250107376
58	0.3246065243
59	0.3242697726
60	0.3239601448
61	0.3235350894
62	0.3232583759
63	0.3230126301
64	0.322813721
65	0.3224564911
66	0.3222668062
67	0.322040374
68	0.3218229311
69	0.321554424
70	0.3213768513
71	0.3212757813
72	0.3209284351
73	0.3207394168
74	0.3205975254
75	0.3200024587
76	0.3197984364
77	0.3196145177
78	0.3194366752
79	0.3193047928
80	0.3192281723
81	0.3190824241
82	0.318845556
83	0.3186898402
84	0.318551999
85	0.3183795193
86	0.3181782104
87	0.3180434193
88	0.3179165813
89	0.317776592
90	0.3175995677
91	0.3174840992
92	0.3174260736
93	0.3169315544
94	0.3168787032
95	0.3168751459
96	0.3165947908
97	0.3165069154
98	0.3163909636
99	0.3163022529
100	0.3156234921
101	0.3154989798
102	0.3153955738
103	0.3153172302
104	0.3147349823
105	0.3146135728
106	0.3144629157
107	0.3143639805
108	0.3143177632
109	0.3142348585
110	0.314173036
111	0.3140861212
112	0.3140641841
113	0.3138452584
114	0.3135575371
115	0.3134918245
116	0.313424181
117	0.3131586219
118	0.3130403054
119	0.3130000377
120	0.3128435697
121	0.312636037
122	0.3125528287
123	0.3124633725
124	0.3124264245
125	0.3123808317
126	0.3123059292
127	0.3122337734
128	0.312182297
129	0.3121139217
130	0.3120422962
131	0.3119943261
132	0.3119489153
133	0.3118705443
134	0.3116941598
135	0.3116368442
136	0.3115811667
137	0.3115170462
138	0.3112414938
139	0.3111787789
140	0.3111519867
141	0.3110585656
142	0.3109926405
143	0.3109541007
144	0.3108858547
145	0.3108233735
146	0.3107730657
147	0.3106953516
148	0.3106462609
149	0.3105867413
150	0.310521407
151	0.3105018074
152	0.3104191069
153	0.3104136753
154	0.3103149516
155	0.3102958118
156	0.3102521038
157	0.3102340767
158	0.3102079026
159	0.3101076731
160	0.3100233437
161	0.3099920421
162	0.3099469102
163	0.309921304
164	0.3098754513
165	0.3098420897
166	0.3097445793
167	0.3096972085
168	0.3096569517
169	0.3095549832
170	0.3095241135
171	0.3094927591
172	0.3093982072
173	0.3093602143
174	0.3093382018
175	0.3092979805
176	0.3092629706
177	0.3092133013
178	0.3091573392
179	0.3090913629
180	0.3090389979
181	0.3090286518
182	0.3090136206
183	0.3090128771
184	0.3089759904
185	0.3088664037
186	0.3088568164
