iter	Passed	Remaining
0	5	5865
1	11	5574
2	17	5744
3	22	5637
4	27	5481
5	32	5326
6	36	5135
7	40	5081
8	46	5123
9	51	5079
10	56	5050
11	61	5023
12	65	4988
13	70	4998
14	76	4991
15	80	4962
16	85	4968
17	91	4990
18	95	4955
19	100	4944
20	105	4917
21	110	4929
22	115	4914
23	120	4888
24	125	4876
25	130	4877
26	135	4879
27	140	4865
28	145	4855
29	150	4855
30	154	4825
31	158	4796
32	162	4772
33	167	4765
34	172	4746
35	176	4725
36	180	4703
37	185	4705
38	190	4705
39	195	4692
40	201	4702
41	205	4698
42	211	4707
43	217	4715
44	221	4704
45	226	4702
46	231	4691
47	236	4699
48	242	4707
49	247	4706
50	252	4691
51	257	4690
52	262	4695
53	267	4682
54	272	4673
55	277	4678
56	282	4671
57	288	4685
58	293	4687
59	299	4685
60	304	4680
61	309	4680
62	314	4673
63	319	4665
64	324	4661
65	328	4653
66	333	4641
67	337	4630
68	343	4629
69	348	4624
70	354	4633
71	358	4622
72	364	4625
73	369	4628
74	374	4621
75	379	4610
76	384	4613
77	389	4609
78	394	4594
79	398	4587
80	403	4582
81	408	4571
82	412	4560
83	417	4553
84	422	4549
85	427	4539
86	431	4530
87	436	4520
88	441	4520
89	446	4518
90	451	4508
91	456	4504
92	462	4506
93	467	4506
94	472	4503
95	476	4491
96	481	4485
97	486	4475
98	490	4461
99	494	4454
100	501	4462
101	505	4453
102	510	4449
103	515	4437
104	520	4437
105	525	4434
106	530	4430
107	535	4422
108	540	4418
109	545	4412
110	550	4409
111	555	4406
112	561	4404
113	566	4399
114	571	4396
115	576	4389
116	580	4380
117	586	4380
118	591	4376
119	595	4365
120	599	4356
121	605	4356
122	610	4349
123	615	4347
124	619	4339
125	624	4333
126	629	4326
127	634	4324
128	639	4314
129	644	4312
130	649	4311
131	654	4302
132	658	4289
133	663	4285
134	667	4279
135	672	4273
136	677	4270
137	682	4264
138	687	4258
139	692	4254
140	697	4247
141	702	4243
142	706	4236
143	711	4229
144	715	4217
145	719	4211
146	724	4204
147	729	4200
148	734	4196
149	740	4193
150	744	4186
151	748	4175
152	753	4170
153	756	4157
154	761	4152
155	766	4146
156	771	4141
157	775	4134
158	779	4123
159	784	4118
160	790	4119
161	794	4111
162	799	4105
163	804	4098
164	809	4094
165	813	4089
166	818	4081
167	822	4074
168	826	4065
169	831	4060
170	836	4056
171	842	4053
172	847	4049
173	851	4044
174	856	4036
175	861	4031
176	865	4024
177	869	4016
178	874	4009
179	878	4003
180	883	3997
181	887	3990
182	892	3984
183	895	3970
184	899	3964
185	903	3955
186	908	3947
187	912	3942
188	917	3936
189	921	3927
190	925	3922
191	931	3918
192	936	3917
193	940	3908
194	945	3902
195	950	3897
196	954	3891
197	960	3890
198	965	3886
199	970	3880
200	974	3875
201	977	3863
202	982	3858
203	987	3853
204	992	3848
205	996	3842
206	1002	3842
207	1007	3836
208	1013	3837
209	1018	3832
210	1023	3827
211	1028	3822
212	1033	3817
213	1038	3812
214	1043	3809
215	1048	3805
216	1053	3799
217	1058	3795
218	1062	3790
219	1067	3784
220	1072	3781
221	1077	3775
222	1082	3771
223	1087	3767
224	1092	3764
225	1097	3759
226	1103	3756
227	1108	3753
228	1113	3748
229	1117	3742
230	1122	3736
231	1126	3729
232	1131	3723
233	1135	3718
234	1141	3716
235	1146	3710
236	1151	3706
237	1156	3702
238	1161	3697
239	1166	3692
240	1169	3684
241	1174	3677
242	1178	3671
243	1183	3667
244	1188	3661
245	1192	3656
246	1197	3649
247	1201	3642
248	1206	3639
249	1212	3637
250	1217	3632
251	1222	3628
252	1227	3625
253	1231	3615
254	1236	3611
255	1241	3607
256	1246	3604
257	1252	3601
258	1257	3598
259	1262	3592
260	1266	3585
261	1271	3581
262	1276	3576
263	1280	3570
264	1285	3564
265	1290	3560
266	1295	3557
267	1300	3551
268	1305	3547
269	1309	3539
270	1313	3534
271	1317	3526
272	1323	3523
273	1327	3517
274	1332	3512
275	1337	3509
276	1343	3505
277	1348	3501
278	1351	3493
279	1357	3490
280	1361	3484
281	1366	3480
282	1371	3475
283	1376	3469
284	1382	3467
285	1387	3463
286	1391	3457
287	1396	3452
288	1401	3446
289	1405	3440
290	1409	3434
291	1414	3429
292	1419	3425
293	1424	3420
294	1429	3416
295	1434	3411
296	1439	3407
297	1444	3403
298	1450	3400
299	1454	3394
300	1458	3388
301	1464	3384
302	1469	3379
303	1473	3372
304	1478	3368
305	1482	3363
306	1487	3358
307	1493	3354
308	1498	3350
309	1502	3344
310	1508	3342
311	1513	3336
312	1517	3331
313	1523	3327
314	1528	3324
315	1536	3326
316	1542	3322
317	1547	3319
318	1553	3317
319	1560	3315
320	1565	3310
321	1569	3304
322	1573	3298
323	1578	3294
324	1583	3289
325	1588	3284
326	1592	3278
327	1598	3274
328	1603	3270
329	1609	3267
330	1614	3262
331	1618	3257
332	1622	3250
333	1628	3246
334	1633	3242
335	1639	3239
336	1644	3235
337	1650	3232
338	1655	3228
339	1661	3224
340	1666	3220
341	1670	3214
342	1675	3209
343	1679	3203
344	1684	3198
345	1690	3195
346	1695	3190
347	1700	3186
348	1705	3181
349	1711	3177
350	1716	3174
351	1722	3171
352	1729	3169
353	1735	3166
354	1742	3166
355	1748	3163
356	1753	3158
357	1759	3154
358	1763	3149
359	1768	3144
360	1773	3139
361	1778	3134
362	1783	3130
363	1789	3126
364	1793	3120
365	1798	3115
366	1804	3112
367	1808	3106
368	1813	3101
369	1818	3096
370	1823	3092
371	1829	3087
372	1833	3082
373	1838	3077
374	1843	3072
375	1848	3068
376	1853	3063
377	1858	3058
378	1864	3054
379	1868	3048
380	1873	3043
381	1878	3039
382	1884	3035
383	1888	3030
384	1893	3024
385	1898	3020
386	1903	3015
387	1908	3009
388	1913	3006
389	1919	3002
390	1923	2996
391	1928	2991
392	1934	2987
393	1938	2982
394	1944	2977
395	1949	2973
396	1954	2968
397	1959	2963
398	1963	2957
399	1969	2954
400	1974	2949
401	1980	2945
402	1985	2941
403	1990	2935
404	1996	2932
405	2000	2927
406	2006	2923
407	2011	2918
408	2016	2913
409	2021	2909
410	2025	2903
411	2031	2899
412	2036	2894
413	2040	2888
414	2045	2883
415	2051	2880
416	2055	2873
417	2060	2869
418	2065	2864
419	2070	2859
420	2075	2854
421	2080	2850
422	2085	2844
423	2089	2839
424	2094	2833
425	2098	2828
426	2103	2822
427	2108	2817
428	2113	2813
429	2118	2808
430	2124	2804
431	2128	2799
432	2133	2793
433	2138	2789
434	2143	2783
435	2147	2778
436	2152	2773
437	2158	2769
438	2162	2763
439	2167	2758
440	2172	2753
441	2176	2747
442	2198	2764
443	2205	2761
444	2220	2769
445	2229	2769
446	2237	2768
447	2247	2768
448	2255	2768
449	2264	2768
450	2275	2769
451	2283	2768
452	2291	2766
453	2297	2763
454	2304	2760
455	2310	2756
456	2316	2752
457	2322	2747
458	2328	2744
459	2333	2739
460	2339	2735
461	2344	2730
462	2350	2725
463	2355	2721
464	2361	2716
465	2366	2712
466	2373	2709
467	2378	2704
468	2384	2700
469	2395	2701
470	2401	2697
471	2407	2692
472	2412	2688
473	2420	2685
474	2425	2680
475	2430	2676
476	2436	2671
477	2442	2667
478	2450	2665
479	2458	2663
480	2466	2661
481	2474	2658
482	2479	2654
483	2485	2650
484	2492	2646
485	2498	2642
486	2503	2637
487	2509	2632
488	2515	2628
489	2524	2627
490	2532	2625
491	2539	2622
492	2546	2619
493	2554	2616
494	2565	2617
495	2572	2614
496	2577	2608
497	2582	2603
498	2589	2600
499	2596	2596
500	2602	2591
501	2607	2587
502	2614	2583
503	2620	2578
504	2626	2574
505	2631	2569
506	2638	2565
507	2645	2561
508	2651	2557
509	2657	2553
510	2662	2547
511	2668	2543
512	2674	2539
513	2681	2535
514	2687	2530
515	2693	2526
516	2701	2524
517	2707	2519
518	2712	2514
519	2718	2509
520	2724	2504
521	2731	2500
522	2736	2496
523	2743	2491
524	2748	2486
525	2754	2482
526	2761	2478
527	2766	2473
528	2771	2467
529	2778	2464
530	2784	2459
531	2790	2455
532	2796	2450
533	2802	2445
534	2808	2441
535	2815	2437
536	2821	2432
537	2828	2428
538	2833	2423
539	2840	2419
540	2846	2414
541	2852	2410
542	2858	2405
543	2863	2400
544	2869	2395
545	2875	2391
546	2880	2385
547	2885	2380
548	2892	2375
549	2898	2371
550	2904	2366
551	2911	2362
552	2916	2357
553	2922	2352
554	2928	2348
555	2934	2343
556	2939	2337
557	2944	2332
558	2951	2328
559	2956	2322
560	2962	2317
561	2967	2313
562	2973	2307
563	2979	2302
564	2984	2297
565	2989	2292
566	2994	2287
567	2999	2281
568	3005	2276
569	3010	2271
570	3016	2266
571	3027	2265
572	3034	2261
573	3041	2257
574	3048	2253
575	3054	2248
576	3060	2243
577	3065	2238
578	3070	2232
579	3076	2227
580	3081	2222
581	3087	2217
582	3103	2220
583	3116	2220
584	3122	2215
585	3127	2209
586	3154	2219
587	3166	2218
588	3177	2216
589	3182	2211
590	3188	2206
591	3194	2201
592	3199	2196
593	3205	2191
594	3210	2185
595	3216	2180
596	3224	2176
597	3229	2170
598	3236	2166
599	3243	2162
600	3248	2156
601	3253	2150
602	3259	2145
603	3264	2140
604	3269	2134
605	3276	2129
606	3281	2124
607	3285	2118
608	3291	2113
609	3296	2107
610	3302	2102
611	3309	2098
612	3315	2092
613	3320	2087
614	3326	2082
615	3330	2076
616	3336	2070
617	3341	2065
618	3346	2059
619	3350	2053
620	3356	2048
621	3360	2042
622	3366	2037
623	3371	2031
624	3376	2025
625	3382	2020
626	3386	2014
627	3391	2009
628	3396	2003
629	3400	1997
630	3405	1991
631	3410	1985
632	3415	1980
633	3419	1974
634	3424	1968
635	3429	1962
636	3434	1956
637	3439	1951
638	3445	1946
639	3450	1940
640	3455	1935
641	3460	1929
642	3465	1923
643	3470	1918
644	3475	1913
645	3480	1907
646	3485	1901
647	3490	1896
648	3495	1890
649	3500	1884
650	3505	1879
651	3511	1874
652	3515	1868
653	3520	1862
654	3524	1856
655	3529	1850
656	3534	1845
657	3540	1839
658	3544	1834
659	3549	1828
660	3555	1823
661	3561	1818
662	3566	1812
663	3572	1807
664	3577	1802
665	3583	1797
666	3589	1792
667	3595	1786
668	3600	1781
669	3606	1776
670	3611	1770
671	3617	1765
672	3623	1760
673	3629	1755
674	3634	1750
675	3639	1744
676	3644	1738
677	3649	1733
678	3653	1727
679	3659	1721
680	3664	1716
681	3668	1710
682	3673	1704
683	3678	1699
684	3683	1693
685	3687	1688
686	3692	1682
687	3697	1676
688	3703	1671
689	3709	1666
690	3714	1661
691	3719	1655
692	3725	1650
693	3730	1644
694	3735	1639
695	3740	1633
696	3745	1628
697	3750	1622
698	3756	1617
699	3762	1612
700	3767	1607
701	3772	1601
702	3777	1595
703	3782	1590
704	3787	1584
705	3793	1579
706	3797	1573
707	3802	1568
708	3806	1562
709	3811	1556
710	3816	1551
711	3820	1545
712	3825	1539
713	3830	1534
714	3836	1529
715	3840	1523
716	3845	1517
717	3850	1512
718	3855	1506
719	3860	1501
720	3865	1495
721	3869	1490
722	3876	1485
723	3881	1479
724	3887	1474
725	3891	1468
726	3897	1463
727	3902	1458
728	3907	1452
729	3913	1447
730	3917	1441
731	3922	1436
732	3928	1430
733	3932	1425
734	3937	1419
735	3942	1414
736	3947	1408
737	3952	1403
738	3958	1398
739	3963	1392
740	3969	1387
741	3974	1381
742	3978	1376
743	3984	1370
744	3989	1365
745	3994	1360
746	3999	1354
747	4005	1349
748	4011	1344
749	4016	1338
750	4022	1333
751	4027	1328
752	4032	1322
753	4037	1317
754	4043	1312
755	4048	1306
756	4054	1301
757	4059	1296
758	4064	1290
759	4068	1284
760	4072	1279
761	4076	1273
762	4082	1268
763	4088	1262
764	4093	1257
765	4098	1251
766	4103	1246
767	4108	1241
768	4112	1235
769	4117	1230
770	4123	1224
771	4128	1219
772	4133	1213
773	4137	1208
774	4142	1202
775	4147	1197
776	4153	1191
777	4158	1186
778	4163	1181
779	4169	1176
780	4175	1170
781	4181	1165
782	4186	1160
783	4192	1154
784	4197	1149
785	4202	1144
786	4208	1138
787	4214	1133
788	4219	1128
789	4224	1123
790	4230	1117
791	4235	1112
792	4240	1106
793	4245	1101
794	4251	1096
795	4256	1090
796	4261	1085
797	4266	1080
798	4272	1074
799	4277	1069
800	4282	1064
801	4287	1058
802	4293	1053
803	4299	1048
804	4304	1042
805	4309	1037
806	4314	1031
807	4319	1026
808	4324	1020
809	4330	1015
810	4334	1010
811	4340	1004
812	4345	999
813	4350	994
814	4355	988
815	4361	983
816	4366	978
817	4370	972
818	4376	967
819	4381	961
820	4386	956
821	4391	950
822	4396	945
823	4401	940
824	4406	934
825	4411	929
826	4416	923
827	4420	918
828	4425	912
829	4430	907
830	4436	902
831	4442	897
832	4447	891
833	4452	886
834	4457	880
835	4463	875
836	4468	870
837	4472	864
838	4478	859
839	4483	854
840	4489	848
841	4494	843
842	4499	837
843	4504	832
844	4509	827
845	4514	821
846	4519	816
847	4524	810
848	4529	805
849	4534	800
850	4540	794
851	4545	789
852	4550	784
853	4555	778
854	4561	773
855	4566	768
856	4570	762
857	4575	757
858	4580	751
859	4585	746
860	4591	741
861	4596	735
862	4601	730
863	4605	724
864	4611	719
865	4616	714
866	4620	708
867	4626	703
868	4630	697
869	4634	692
870	4639	687
871	4645	681
872	4650	676
873	4656	671
874	4662	666
875	4667	660
876	4671	655
877	4677	649
878	4682	644
879	4688	639
880	4693	633
881	4699	628
882	4705	623
883	4711	618
884	4717	612
885	4722	607
886	4729	602
887	4734	597
888	4739	591
889	4744	586
890	4749	581
891	4754	575
892	4759	570
893	4765	564
894	4770	559
895	4776	554
896	4781	549
897	4786	543
898	4792	538
899	4798	533
900	4803	527
901	4808	522
902	4815	517
903	4819	511
904	4826	506
905	4831	501
906	4836	495
907	4841	490
908	4847	485
909	4851	479
910	4857	474
911	4862	469
912	4867	463
913	4873	458
914	4877	453
915	4882	447
916	4887	442
917	4892	437
918	4897	431
919	4902	426
920	4907	420
921	4913	415
922	4918	410
923	4922	404
924	4926	399
925	4931	394
926	4935	388
927	4940	383
928	4945	377
929	4950	372
930	4956	367
931	4962	362
932	4967	356
933	4973	351
934	4977	346
935	4982	340
936	4988	335
937	4992	330
938	4998	324
939	5002	319
940	5008	314
941	5014	308
942	5019	303
943	5024	298
944	5029	292
945	5034	287
946	5039	282
947	5044	276
948	5048	271
949	5054	266
950	5058	260
951	5063	255
952	5068	249
953	5072	244
954	5077	239
955	5082	233
956	5088	228
957	5094	223
958	5099	218
959	5104	212
960	5110	207
961	5114	202
962	5120	196
963	5125	191
964	5130	186
965	5135	180
966	5140	175
967	5145	170
968	5150	164
969	5155	159
970	5160	154
971	5166	148
972	5171	143
973	5176	138
974	5182	132
975	5187	127
976	5192	122
977	5198	116
978	5204	111
979	5208	106
980	5213	100
981	5219	95
982	5225	90
983	5230	85
984	5235	79
985	5241	74
986	5247	69
987	5252	63
988	5257	58
989	5262	53
990	5267	47
991	5273	42
992	5277	37
993	5283	31
994	5288	26
995	5292	21
996	5297	15
997	5302	10
998	5308	5
999	5315	0
